id,roll,name,age
408,3373,Dante Ortiz,20
409,1322,Cassandra Garner,18
410,4005,Leroy Winters,16
411,4233,Axel Greer,17
412,3700,Edward Aguirre,10
413,4321,Ann Dale,12
414,1117,Wylie Chan,10
415,3283,Mark Ellison,23
416,1315,Iris Ballard,21
417,2092,Yasir Webb,17
418,2830,Daniel Mcfarland,13
419,2222,Hoyt Reeves,18
420,3432,Colorado Dodson,13
421,3256,Karly Frank,12
422,3539,Ivory Preston,25
423,4402,Charde Nunez,17
424,3472,Perry Moody,29
425,1863,Blake Griffith,17
426,2476,Shafira Barnett,16
427,3728,Brandon Rowland,23
428,2204,Moana Dodson,19
429,4724,Avye Dennis,16
430,1054,Nichole Cole,24
431,4096,Geoffrey Joyner,20
432,3473,Britanney Norton,25
433,4194,Karina Fulton,29
434,4590,Colette Martinez,15
435,4046,Clark Sweeney,25
436,3834,Vladimir Herman,19
437,3457,Isaiah Key,14
438,2498,Angelica Freeman,17
439,3241,Gisela Callahan,16
440,1310,Hilda Wiley,11
441,1695,Dennis Riggs,26
442,1785,September Henson,22
443,2017,Yvonne Becker,12
444,3179,Cameron Willis,28
445,4138,Jamalia Reese,19
446,4658,Jesse Tillman,23
447,4166,Connor Le,11
448,3346,Cyrus Waller,10
449,2826,Shafira Vasquez,15
450,1228,Matthew James,29
451,1015,Phillip Washington,16
452,1799,Claire Walter,30
453,1214,Rana Keith,15
454,3989,Halee Benton,24
455,2554,Tobias Boyer,29
456,4778,Dolan Duran,19
457,4892,Cathleen Cherry,21
458,4127,Aphrodite Banks,26
459,3048,Lane Lang,26
460,2692,Merritt Warren,23
461,4543,Candice Slater,17
462,4367,Moses Shaw,30
463,3831,Zane Hawkins,13
464,3061,Celeste Camacho,13
465,1674,Francis Moreno,23
466,4225,Brianna Ware,20
467,2411,Orla Kaufman,23
468,2278,Knox Noble,30
469,4952,Rose Marshall,17
470,4406,Aaron Moreno,15
471,1697,Fletcher Gardner,17
472,2936,Pamela Wiley,29
473,3292,Declan Parks,27
474,1154,Maggie Hebert,11
475,2887,Celeste Lester,19
476,2883,Ulla Little,18
477,2847,MacKenzie Hogan,21
478,4914,Baker Bond,22
479,2087,Evangeline Barron,16
480,4833,Jada Patterson,20
481,3276,Yvette Stevenson,26
482,3285,Cassady Allison,19
483,1107,Eve Franklin,23
484,2250,Kenyon Tyson,14
485,3076,Chelsea Hardin,19
486,2014,Rhoda Sweeney,29
487,1904,Patrick Mcgee,23
488,4059,Keelie Delgado,14
